name,position,scale,count,url
安信证券,深圳市福田区福田街道福华一路119号安信金融大厦15、16层,0,0,www.essence.com.cn
安信基金,深圳市福田区益田路6009号新世界商务中心36层,1236.8,146,www.essencefund.com
安信证券,深圳市福田区福田街道福安社区福华一路119号安信金融大厦21楼、22楼,134.63,19,www.axzqzg.com/
贝莱德,上海市自由贸易试验区陆家嘴环路1233号汇亚大厦7楼702室,53.98,10,www.blackrock.com.cn
北信瑞丰,北京市海淀区西三环北路100号光耀东方中心A座6层、25层,28.5,22,www.bxrfund.com
宝盈,深圳市福田区福华一路115号投行大厦10、11层,664.24,108,www.byfunds.com
北京京管泰富基金,北京市西城区西直门南小街国英园9号楼,50.1,1,www.cdbsfund.com
百嘉,广东省广州市天河区花城大道769号广州嘉昱中心10层,48.46,8,www.baijiafunds.com.cn/index.html
博时,广东省深圳市福田区益田路5999号基金大厦21层,9527.78,557,www.bosera.com
渤海汇金证券,深圳市前海深港合作区南山街道桂湾五路128号基金小镇对冲基金中心506,130.75,14,www.bhhjamc.com
博道,上海市浦东新区福山路500号城建国际中心1601室,176.4,41,www.bdfund.cn
博远,深圳市福田区华富街道莲花一村社区皇岗路5001号深业上城(南区)T2栋4301,99.73,17,www.boyuanfunds.com
长江证券(上海),上海市浦东新区世纪大道1198号世纪汇一座27层,158.88,53,www.cjzcgl.com
创金合信,深圳市前海深港合作区南山街道梦海大道5035华润前海大厦A座36-38楼,945.41,178,www.cjhxfund.com
淳厚,上海浦东新区丁香路778号丁香国际大厦西塔7楼,313.29,40,www.purekindfund.com
长城证券,深圳市福田区福田街道金田路2026号能源大厦南塔楼10-19层,10.68,5,www.cgws.com
财通证券,浙江省杭州市上城区四宜路22号四宜大院B幢,1065.78,113,www.ctzg.com
诚通证券,北京市海淀区北三环西路99号院1号楼15层1501,2.86,1,www.cctgsc.com.cn
长盛,北京市朝阳区安定路5号院3号楼中建财富国际中心3层,639.09,112,www.csfunds.com.cn
长信基金,上海市浦东新区银城中路68号时代金融中心九楼,1152.1,157,www.cxfund.com.cn
财信证券,湖南省长沙市芙蓉中路二段80号顺天国际财富中心26层,7.24,1,stock.hnchasing.com
财通,上海市银城中路68号时代金融中心43楼,608.63,76,www.ctfund.com
财达证券,河北省石家庄市自强路35号,5.99,4,www.95363.com
长安,上海市浦东新区芳甸路1088号紫竹国际大厦16层,131.08,50,www.changanfunds.com
长城,深圳市福田区鹏程一路9号广电金融中心36层DEF单元、38层、39层,2536.22,175,www.ccfund.com.cn
德邦证券,--,3.7,2,www.tebon.com.cn
西藏东财,上海市徐汇区宛平南路88号金座5楼,47.09,60,www.dongcaijijin.com
东方阿尔法,深圳市福田区莲花街道紫荆社区深南大道6008号深圳特区报业大厦23楼BC,93.77,14,www.dfa66.com
德邦,上海市黄浦区中山东二路600号S1幢2101-2106单元,260.71,59,www.dbfund.com.cn
东海基金,上海市浦东新区世纪大道1528号陆家嘴基金大厦15楼,113.03,17,www.donghaifunds.com
东证融汇证券,上海市浦东新区杨高南路729号陆家嘴世纪金融广场1号楼16层,96.4,9,www.dzronghui.com
东吴证券,江苏省苏州工业园区星阳街5号,3.4,8,www.dwzq.com.cn
东莞证券,广东省东莞市莞城区可园南路1号金源中心30楼,27.02,3,www.dgzq.com.cn
东方基金管理,北京市丰台区金泽路161号院1号楼远洋锐中心26层,698.25,105,www.orient-fund.com
大成,广东省深圳市南山区海德三道1236号大成基金总部大厦5层、27-33层,2324.65,281,www.dcfund.com.cn
东吴,上海市浦东新区银城路117号瑞明大厦9F,207.34,65,www.scfund.com.cn
上海东方证券,上海市黄浦区外马路108号供销大厦7层-11层,2073.9,145,www.dfham.com
东海证券,江苏省常州市延陵西路23号投资广场18层,8.7,14,www.longone.com.cn
东兴,北京市西城区平安里西大街28号中海国际中心6层,223.76,32,www.dxamc.cn
第一创业证券,深圳市福田区福华一路115号投行大厦9、16-20楼,2.44,2,www.firstcapital.com.cn
东兴证券,"北京市西城区金融大街5号新盛大厦B座6、10、12、15、16层,北京市西城区金融大街9号金融街中心17、18层",0,0,www.dxzq.net
达诚,上海市虹口区东大名路1089号北外滩来福士东塔2903单元,3.55,10,www.integrity-funds.com
方正富邦,北京市朝阳区北四环中路27号院5号楼11层02-11房间,555.3,73,www.founderff.com
富国,上海市自由贸易试验区世纪大道1196号世纪汇办公楼二座27-30层,8522.42,490,www.fullgoal.com.cn
富荣,深圳市福田区八卦四路52号安吉尔大厦24层,185.9,33,www.furamc.com.cn
方正证券,湖南省长沙市天心区湘江中路二段36号华远华中心4、5号楼3701-3717,106.47,9,www.foundersc.com
富安达,上海市浦东新区世纪大道1568号29楼,76.64,30,www.fadfunds.com
蜂巢,上海市浦东新区竹林路101号陆家嘴基金大厦10楼,427.49,41,www.hexaamc.com
国海富兰克林,上海市浦东新区世纪大道8号上海国金中心二期9层,820.1,66,www.ftsfund.com
广发,广州市海珠区琶洲大道东1号保利国际广场南塔31-33楼,12204.61,587,www.gffunds.com.cn
国泰,上海市虹口区公平路18号8号楼嘉昱大厦16层-19层,5489.58,369,www.gtfund.com
工银瑞信,北京市西城区金融大街5号新盛大厦A座6-9层,7853.94,395,www.icbccs.com.cn
国元证券,安徽省合肥市梅山路18号,46.14,5,www.gyzq.com.cn
北京高华证券,北京市西城区金融大街7号英蓝国际中心18层1801-1806室、1826-1832室,0,0,www.ghsl.cn
国海证券,广西省广西壮族自治区南宁市滨湖路46号国海大厦,37.17,7,www.ghzq.com.cn
国金,北京市海淀区西三环北路87号国际财经中心D座14层,384.42,43,www.gfund.com
国寿安保,北京市西城区金融大街28号院盈泰商务中心2号楼11、12层,2291.09,151,www.gsfunds.com.cn
国联安,上海市浦东新区陆家嘴环路1318号星展银行大厦9楼,867.16,108,"www.cpicfunds.com,www.gtja-allianz.com"
光大保德信,"上海市黄浦区中山东二路558号外滩金融中心1幢(北区3号楼),6-7层、10层",823.89,112,www.epf.com.cn
国新证券,北京市朝阳区朝阳门北大街18号中国人保寿险大厦11至18层,0,0,www.hrsec.com.cn
格林,北京市朝阳区东三环中路5号楼财富金融中心47层(电梯层58层)04、05、06单元,208.95,45,www.china-greenfund.com
国融,北京市海淀区西直门外大街168号腾达大厦2008室/上海市虹口区黄浦路99号2909室,4.34,20,www.gowinamc.com
广发证券,广州市天河区马场路26号广发证券大厦30-32楼,173.64,24,www.gfam.com.cn
国投瑞银,深圳市福田区金田路4028号荣超经贸中心46层,2371.02,140,www.ubssdic.com
国新国证,北京市朝阳区朝阳门北大街18号中国人保寿险大厦11层,58.02,16,www.hr-fund.com.cn
